Destination ID,Destination,Country,Popular Season
XBJ,Paris,Japan,Autumn
VSF,Paris,United Kingdom,Autumn
OVI,Paris,France,Summer
TTT,Rome,Japan,Summer
CJP,Rome,Italy,Autumn
BBZ,London,Italy,Summer
GMB,Rome,France,Winter
GBV,Barcelona,United Kingdom,Spring
ESQ,Tokyo,Italy,Spring
EER,Rome,Italy,Autumn
LRG,London,United Kingdom,Winter
RKJ,Paris,France,Autumn
HHF,London,France,Winter
TFR,Paris,France,Summer
RLN,Barcelona,Japan,Autumn
MWG,Barcelona,United Kingdom,Summer
LFW,Tokyo,France,Autumn
OIX,Rome,Japan,Summer
HNT,Barcelona,United Kingdom,Spring
BTI,London,United Kingdom,Summer
WJE,Rome,Italy,Winter
LNV,Tokyo,Italy,Spring
PVZ,Barcelona,France,Autumn
SKH,Barcelona,France,Winter
GWP,Rome,Japan,Summer
ZCJ,Paris,Japan,Winter
HQW,Barcelona,France,Summer
LLM,Rome,Spain,Autumn
OPE,London,France,Summer
WTE,Paris,Spain,Autumn
NUE,Tokyo,Japan,Summer
ZJF,Barcelona,Japan,Spring
AQQ,London,Italy,Summer
XHZ,Barcelona,Spain,Summer
MMS,Tokyo,France,Spring
CZJ,Rome,Spain,Summer
MAR,Paris,Japan,Winter
TAQ,Paris,Spain,Winter
ICM,Rome,France,Summer
NYT,Paris,Spain,Spring
BUI,Barcelona,Italy,Winter
HHH,Paris,Spain,Summer
OHB,Tokyo,Spain,Autumn
JLN,Tokyo,Italy,Summer
FQC,Rome,United Kingdom,Spring
JHQ,Barcelona,United Kingdom,Spring
NAP,Rome,United Kingdom,Summer
SSL,Tokyo,United Kingdom,Autumn
KWP,Tokyo,Japan,Summer
GXQ,London,Spain,Winter
YLE,Rome,Spain,Autumn
DGC,Tokyo,Italy,Summer
UDK,Rome,United Kingdom,Autumn
NLL,Barcelona,Spain,Summer
OUR,London,Italy,Spring
BVH,London,France,Summer
LCT,London,Italy,Winter
WHE,London,Japan,Spring
JKX,Paris,Japan,Winter
PIA,Tokyo,Italy,Spring
QKN,Paris,Japan,Autumn
KFT,Barcelona,Japan,Spring
OAH,Tokyo,Japan,Winter
RQN,Barcelona,United Kingdom,Autumn
IRX,Rome,Italy,Spring
UMD,London,Italy,Summer
JWR,Barcelona,Spain,Autumn
TLH,Paris,Italy,Summer
SBV,Tokyo,Spain,Winter
DLZ,Paris,France,Autumn
AOA,Barcelona,Italy,Winter
DBK,Barcelona,Japan,Autumn
UZR,Rome,Japan,Winter
VRD,Tokyo,France,Autumn
RAN,London,France,Winter
QIQ,Rome,Japan,Autumn
BNV,Paris,Japan,Autumn
UBF,Rome,Italy,Autumn
HAE,Paris,Spain,Winter
JNY,Paris,Spain,Spring
JSY,Barcelona,Japan,Autumn
ZKJ,London,Japan,Summer
ZKZ,Barcelona,United Kingdom,Autumn
SLW,London,Spain,Winter
KAV,Rome,France,Autumn
XWF,Rome,Spain,Autumn
WLI,Barcelona,Italy,Winter
UUX,Paris,France,Spring
ZZX,Tokyo,France,Spring
QJE,London,Spain,Spring
LUX,Tokyo,Japan,Winter
HXQ,Rome,France,Spring
MJQ,London,Spain,Summer
APW,London,France,Summer
GHB,Paris,France,Winter
BKA,London,United Kingdom,Autumn
KYE,Paris,France,Spring
WDO,Tokyo,Japan,Winter
WEW,Tokyo,Italy,Spring
JME,Rome,Japan,Summer
DTW,London,France,Summer
BIZ,Barcelona,Spain,Spring
WYY,Tokyo,Japan,Autumn
IZU,Tokyo,Spain,Summer
QVN,Barcelona,Spain,Summer
DWA,Rome,Japan,Winter
NQN,London,Spain,Winter
WXW,Rome,Japan,Winter
YDR,Tokyo,Italy,Winter
RIO,Paris,Japan,Summer
FAE,Barcelona,Japan,Winter
QND,Paris,Spain,Autumn
JXT,Barcelona,Italy,Winter
JOM,Barcelona,Japan,Autumn
EFA,Paris,Japan,Winter
FNT,Barcelona,France,Summer
EWG,London,Italy,Spring
YQH,Paris,France,Winter
UAF,London,Italy,Winter
UJX,Rome,Spain,Winter
GFJ,Rome,United Kingdom,Winter
TAF,Tokyo,Spain,Winter
KHV,Barcelona,France,Winter
EBT,Tokyo,Japan,Autumn
BPC,Rome,Italy,Autumn
QTT,Paris,Japan,Summer
UNX,Rome,United Kingdom,Winter
OFU,London,France,Summer
BHS,London,Japan,Spring
YWZ,Barcelona,Japan,Summer
OMH,Tokyo,Italy,Winter
IRD,Rome,United Kingdom,Spring
DVV,London,United Kingdom,Summer
ZNF,London,Spain,Summer
HIH,London,Spain,Summer
BYO,Paris,Japan,Spring
BJO,Paris,Japan,Winter
ORQ,Barcelona,Spain,Winter
CYP,London,Italy,Summer
THF,Paris,Italy,Winter
AIJ,Rome,Italy,Spring
TPU,Paris,United Kingdom,Summer
IOD,Barcelona,Japan,Summer
LPN,Tokyo,Spain,Autumn
SZB,Paris,France,Winter
WHL,Rome,Japan,Spring
GTR,Tokyo,United Kingdom,Winter
HCS,Tokyo,Italy,Summer
FJX,Rome,Japan,Summer
YLB,Barcelona,United Kingdom,Summer
ACL,Barcelona,Japan,Winter
PJU,London,Japan,Summer
TIU,Paris,Japan,Winter
NJC,Paris,France,Spring
SJF,London,France,Winter
VIG,Rome,France,Summer
BWP,Paris,United Kingdom,Winter
HJT,Barcelona,Japan,Autumn
WPA,Paris,France,Autumn
RRL,Rome,Italy,Summer
MGQ,Barcelona,Italy,Winter
DZV,London,Spain,Summer
RQU,Rome,Italy,Summer
GKO,Paris,Japan,Autumn
RWH,Barcelona,Italy,Summer
IKM,Paris,Spain,Summer
WOI,Barcelona,Spain,Spring
ZPR,Tokyo,France,Winter
EAS,London,Italy,Winter
MCC,Barcelona,Italy,Spring
KHL,Tokyo,Italy,Spring
RJA,Paris,Italy,Spring
PKC,London,Italy,Summer
PNN,London,France,Spring
UDO,Barcelona,Spain,Spring
VGX,Barcelona,France,Winter
KQR,Paris,France,Winter
WUV,Tokyo,Japan,Autumn
EFA,Paris,Japan,Summer
